,eccentricity,area,N,E_of_pi,S,d
107,0.8,140000.0,2000.0,1766.84868068,26355.1428571,165.223688258
108,0.9,3500.0,50.0,1682.12581156,6969.4,37.5196956057
109,0.9,7000.0,100.0,1666.86969008,9851.30714286,55.4194406193
110,0.9,14000.0,200.0,1676.99980183,12146.35,70.6120893405
111,0.9,21000.0,300.0,1686.80643391,13984.7678571,82.9494916307
112,0.9,28000.0,400.0,1692.88289993,15510.3142857,93.0967976413
113,0.9,35000.0,500.0,1701.25062805,16506.5857143,99.4733471027
114,0.9,42000.0,600.0,1708.36328705,17584.9321429,106.170913968
115,0.9,52500.0,750.0,1716.48033676,18795.125,114.371950278
116,0.9,70000.0,1000.0,1728.2560877,20864.2285714,128.928110549
117,0.9,87500.0,1250.0,1737.39818803,22195.6785714,137.735781975
118,0.9,105000.0,1500.0,1746.76170166,23343.4392857,145.502189859
119,0.9,140000.0,2000.0,1760.16762694,25071.4642857,157.743819972
